1,Meno1,Priezvisko1,3,1,1998
10,Meno10,Priezvisko10,3,1,1998
100,Meno100,Priezvisko100,3,1,1998
1000,Meno1000,Priezvisko1000,3,1,1998
10000,Meno10000,Priezvisko10000,3,1,1998
1001,Meno1001,Priezvisko1001,3,1,1998
1002,Meno1002,Priezvisko1002,3,1,1998
1003,Meno1003,Priezvisko1003,3,1,1998
1004,Meno1004,Priezvisko1004,3,1,1998
1005,Meno1005,Priezvisko1005,3,1,1998
1006,Meno1006,Priezvisko1006,3,1,1998
1007,Meno1007,Priezvisko1007,3,1,1998
1008,Meno1008,Priezvisko1008,3,1,1998
1009,Meno1009,Priezvisko1009,3,1,1998
101,Meno101,Priezvisko101,3,1,1998
1010,Meno1010,Priezvisko1010,3,1,1998
1011,Meno1011,Priezvisko1011,3,1,1998
1012,Meno1012,Priezvisko1012,3,1,1998
1013,Meno1013,Priezvisko1013,3,1,1998
1014,Meno1014,Priezvisko1014,3,1,1998
1015,Meno1015,Priezvisko1015,3,1,1998
1016,Meno1016,Priezvisko1016,3,1,1998
1017,Meno1017,Priezvisko1017,3,1,1998
1018,Meno1018,Priezvisko1018,3,1,1998
1019,Meno1019,Priezvisko1019,3,1,1998
102,Meno102,Priezvisko102,3,1,1998
1020,Meno1020,Priezvisko1020,3,1,1998
1021,Meno1021,Priezvisko1021,3,1,1998
1022,Meno1022,Priezvisko1022,3,1,1998
1023,Meno1023,Priezvisko1023,3,1,1998
1024,Meno1024,Priezvisko1024,3,1,1998
1025,Meno1025,Priezvisko1025,3,1,1998
1026,Meno1026,Priezvisko1026,3,1,1998
1027,Meno1027,Priezvisko1027,3,1,1998
1028,Meno1028,Priezvisko1028,3,1,1998
1029,Meno1029,Priezvisko1029,3,1,1998
103,Meno103,Priezvisko103,3,1,1998
1030,Meno1030,Priezvisko1030,3,1,1998
1031,Meno1031,Priezvisko1031,3,1,1998
1032,Meno1032,Priezvisko1032,3,1,1998
1033,Meno1033,Priezvisko1033,3,1,1998
1034,Meno1034,Priezvisko1034,3,1,1998
1035,Meno1035,Priezvisko1035,3,1,1998
1036,Meno1036,Priezvisko1036,3,1,1998
1037,Meno1037,Priezvisko1037,3,1,1998
1038,Meno1038,Priezvisko1038,3,1,1998
1039,Meno1039,Priezvisko1039,3,1,1998
104,Meno104,Priezvisko104,3,1,1998
1040,Meno1040,Priezvisko1040,3,1,1998
1041,Meno1041,Priezvisko1041,3,1,1998
1042,Meno1042,Priezvisko1042,3,1,1998
1043,Meno1043,Priezvisko1043,3,1,1998
1044,Meno1044,Priezvisko1044,3,1,1998
1045,Meno1045,Priezvisko1045,3,1,1998
1046,Meno1046,Priezvisko1046,3,1,1998
1047,Meno1047,Priezvisko1047,3,1,1998
1048,Meno1048,Priezvisko1048,3,1,1998
